customer_id,signup_date,region,age,income_band,recency_days,orders_cnt,revenue,churn_label
1,2023-02-02,North,21,Mid,254,4,2398.94,1
2,2023-10-10,East,41,Mid,381,5,3742.98,1
3,2023-08-27,West,44,Low,634,1,166.22,1
4,2023-06-10,West,52,Low,138,4,2003.42,1
5,2023-06-08,South,44,Low,290,2,546.29,1
6,2023-11-10,North,26,Low,126,3,852.81,1
7,2023-02-01,West,35,Low,247,2,487.75,1
8,2023-09-12,West,38,High,223,10,6588.70,1
9,2023-03-15,East,64,Low,195,2,1570.35,1
10,2023-02-04,East,43,Low,281,3,2477.37,1
11,2023-07-12,South,47,Mid,42,5,1844.11,0
12,2023-12-23,South,52,Mid,14,8,4146.13,0
13,2023-09-26,North,35,Low,134,2,1338.30,1
14,2023-10-05,North,63,Low,71,2,681.59,1
15,2023-09-19,North,49,High,259,4,1925.86,1
16,2023-10-14,West,57,Low,69,3,2636.58,1
17,2023-07-07,North,53,Mid,49,4,2718.09,0
18,2023-02-16,North,47,Mid,0,0,0,0
19,2023-11-03,East,19,Low,56,3,1756.33,0
20,2023-06-14,North,45,Mid,132,4,3685.33,1
21,2023-07-02,North,24,Low,635,2,743.51,1
22,2023-05-16,East,46,Low,257,4,2307.23,1
23,2023-03-08,South,50,Low,343,1,590.94,1
24,2023-12-05,East,43,High,207,6,4595.99,1
25,2023-10-13,West,32,Low,0,0,0,0
26,2023-08-24,North,20,Low,312,5,2766.60,1
27,2023-05-27,West,49,High,50,4,2988.10,0
28,2023-10-28,West,50,Low,660,1,1230.55,1
29,2023-07-19,West,40,High,229,6,3735.20,1
30,2023-06-11,East,51,Mid,32,5,3717.85,0
31,2023-06-14,East,54,Mid,237,7,4848.52,1
32,2023-03-24,East,42,Mid,43,5,2040.31,0
33,2023-02-03,East,20,Mid,9,8,5059.32,0
34,2023-07-22,North,58,Low,282,1,528.69,1
35,2023-11-21,West,39,High,21,11,6963.27,0
36,2023-01-24,East,49,High,156,8,4382.24,1
37,2023-11-10,West,60,High,29,6,2454.72,0
38,2023-10-30,South,35,Mid,241,6,5401.88,1
39,2023-04-12,North,47,Mid,149,7,4558.76,1
40,2023-08-19,East,18,Mid,38,5,3775.07,0
41,2023-03-02,East,59,Low,76,4,1767.63,1
42,2023-10-04,South,20,Mid,68,6,5030.57,1
43,2023-09-13,South,43,Mid,164,6,3184.67,1
44,2023-05-10,North,34,Mid,181,3,1314.95,1
45,2023-01-25,East,19,Low,357,2,1012.83,1
46,2023-12-21,South,39,Mid,331,5,2941.20,1
47,2023-06-12,West,61,Mid,138,10,5735.64,1
48,2023-11-22,North,25,Mid,136,2,1483.86,1
49,2023-09-05,South,31,High,9,4,1615.90,0
50,2023-10-12,South,26,Mid,3,2,1346.22,0
51,2023-10-05,East,23,Low,402,2,985.76,1
52,2023-03-13,South,28,Low,0,0,0,0
53,2023-05-13,East,44,Mid,59,8,3895.56,0
54,2023-06-20,West,54,Mid,40,5,3299.88,0
55,2023-07-01,South,50,Mid,148,4,2755.91,1
56,2023-01-16,East,54,Low,535,1,1233.39,1
57,2023-07-19,North,51,Low,92,3,1587.10,1
58,2023-02-26,South,35,Low,437,2,635.62,1
59,2023-09-29,South,60,Mid,113,4,2263.45,1
60,2023-09-07,North,26,High,161,9,3249.68,1
61,2023-12-03,East,50,High,8,9,3961.93,0
62,2023-09-29,East,23,Mid,54,3,1827.76,0
