customer_id,signup_date,region,age,income_band
1,2023-02-02,North,21,Mid
2,2023-10-10,East,41,Mid
3,2023-08-27,West,44,Low
4,2023-06-10,West,52,Low
5,2023-06-08,South,44,Low
6,2023-11-10,North,26,Low
7,2023-02-01,West,35,Low
8,2023-09-12,West,38,High
9,2023-03-15,East,64,Low
10,2023-02-04,East,43,Low
11,2023-07-12,South,47,Mid
12,2023-12-23,South,52,Mid
13,2023-09-26,North,35,Low
14,2023-10-05,North,63,Low
15,2023-09-19,North,49,High
16,2023-10-14,West,57,Low
17,2023-07-07,North,53,Mid
18,2023-02-16,North,47,Mid
19,2023-11-03,East,19,Low
20,2023-06-14,North,45,Mid
21,2023-07-02,North,24,Low
22,2023-05-16,East,46,Low
23,2023-03-08,South,50,Low
24,2023-12-05,East,43,High
25,2023-10-13,West,32,Low
26,2023-08-24,North,20,Low
27,2023-05-27,West,49,High
28,2023-10-28,West,50,Low
29,2023-07-19,West,40,High
30,2023-06-11,East,51,Mid
31,2023-06-14,East,54,Mid
32,2023-03-24,East,42,Mid
33,2023-02-03,East,20,Mid
34,2023-07-22,North,58,Low
35,2023-11-21,West,39,High
36,2023-01-24,East,49,High
37,2023-11-10,West,60,High
38,2023-10-30,South,35,Mid
39,2023-04-12,North,47,Mid
40,2023-08-19,East,18,Mid
41,2023-03-02,East,59,Low
42,2023-10-04,South,20,Mid
43,2023-09-13,South,43,Mid
44,2023-05-10,North,34,Mid
45,2023-01-25,East,19,Low
46,2023-12-21,South,39,Mid
47,2023-06-12,West,61,Mid
48,2023-11-22,North,25,Mid
49,2023-09-05,South,31,High
50,2023-10-12,South,26,Mid
51,2023-10-05,East,23,Low
52,2023-03-13,South,28,Low
53,2023-05-13,East,44,Mid
54,2023-06-20,West,54,Mid
55,2023-07-01,South,50,Mid
56,2023-01-16,East,54,Low
57,2023-07-19,North,51,Low
58,2023-02-26,South,35,Low
59,2023-09-29,South,60,Mid
60,2023-09-07,North,26,High
61,2023-12-03,East,50,High
62,2023-09-29,East,23,Mid
63,2023-05-14,East,53,Mid
64,2023-12-20,East,22,Low
65,2023-05-30,East,28,Mid
66,2023-04-29,South,36,High
67,2023-11-27,North,50,Low
68,2023-05-16,North,20,High
69,2023-01-28,East,30,Low
70,2023-06-21,West,33,Low
71,2023-10-18,North,52,Mid
72,2023-03-11,East,63,High
73,2023-06-18,West,46,Low
74,2023-02-17,West,41,Mid
75,2023-09-08,East,33,Low
76,2023-06-23,East,56,Mid
77,2023-05-01,East,23,Mid
78,2023-03-24,West,24,Low
79,2023-07-26,North,27,Mid
80,2023-09-02,West,30,Mid
81,2023-12-10,North,39,Mid
82,2023-06-09,West,62,Low
83,2023-02-28,North,48,Low
84,2023-10-31,North,36,High
85,2023-08-18,North,27,Mid
86,2023-09-13,South,48,Mid
87,2023-02-05,South,29,Mid
88,2023-04-25,North,63,Mid
89,2023-10-08,South,40,Low
90,2023-10-31,South,43,Mid
91,2023-06-08,West,60,Mid
92,2023-10-21,West,32,Low
93,2023-11-04,East,40,Low
94,2023-05-22,North,43,Mid
95,2023-11-24,South,30,High
96,2023-04-16,West,20,Mid
97,2023-03-29,North,31,Low
98,2023-09-07,South,23,High
99,2023-08-21,West,49,Low
100,2023-02-21,West,18,Low
101,2023-10-31,South,32,High
102,2023-03-14,East,59,Mid
103,2023-10-21,South,44,High
104,2023-01-03,West,49,Mid
105,2023-10-18,North,49,Mid
106,2023-10-15,North,32,Low
107,2023-10-12,East,47,Low
108,2023-08-31,North,28,High
109,2023-06-22,East,47,High
110,2023-09-15,South,50,Low
111,2023-04-12,West,59,Low
112,2023-10-12,West,61,Low
113,2023-07-22,South,19,Low
114,2023-06-17,West,32,High
115,2023-07-04,South,43,Low
116,2023-07-27,South,33,Mid
117,2023-01-14,North,47,High
118,2023-02-21,West,58,Mid
119,2023-03-31,West,30,Mid
120,2023-02-11,West,59,Low
121,2023-06-10,West,59,Low
122,2023-09-01,West,60,Low
123,2023-08-27,North,21,Low
124,2023-06-21,West,31,Low
125,2023-11-09,East,23,Low
126,2023-07-26,South,23,Low
127,2023-01-29,East,20,Low
128,2023-10-07,South,38,High
129,2023-07-29,South,22,Low
130,2023-08-20,North,31,Low
131,2023-07-26,North,64,High
132,2023-07-22,South,59,Low
133,2023-02-03,West,62,Mid
134,2023-07-24,East,19,Mid
135,2023-10-18,East,49,Mid
136,2023-04-21,South,47,Low
137,2023-08-09,South,24,Mid
138,2023-01-12,North,60,Mid
139,2023-05-07,West,37,Low
140,2023-06-09,North,63,Low
141,2023-12-25,East,23,Low
142,2023-03-20,West,48,Mid
143,2023-04-11,East,24,Low
144,2023-05-30,West,62,Low
145,2023-12-29,South,46,Mid
146,2023-11-08,West,21,High
147,2023-01-13,East,28,Low
148,2023-03-27,West,34,Low
149,2023-10-27,East,18,Mid
150,2023-01-22,West,18,Mid
151,2023-11-09,West,61,Mid
152,2023-04-13,South,64,High
153,2023-12-01,West,43,Low
154,2023-04-18,East,60,Low
155,2023-06-08,South,48,Low
156,2023-08-30,West,19,Low
157,2023-02-16,South,51,Mid
158,2023-07-23,East,18,Mid
159,2023-07-04,North,56,Low
160,2023-10-14,North,35,Mid
161,2023-12-30,West,24,Low
162,2023-08-31,South,30,Mid
163,2023-05-30,South,50,Low
164,2023-05-29,North,57,Mid
165,2023-06-02,South,44,Low
166,2023-10-25,West,25,High
167,2023-04-28,West,60,High
168,2023-03-02,North,55,Mid
169,2023-05-03,East,37,High
170,2023-01-09,South,44,Low
171,2023-02-08,East,63,Mid
172,2023-02-02,South,35,Low
173,2023-10-09,South,19,High
174,2023-09-21,South,24,Low
175,2023-09-12,East,46,Low
176,2023-06-18,East,64,Mid
177,2023-09-19,South,52,Low
178,2023-02-28,West,47,Mid
179,2023-11-25,East,33,Low
180,2023-07-02,South,38,Mid
181,2023-12-09,West,19,High
182,2023-02-25,West,35,Mid
183,2023-07-01,North,47,Low
184,2023-09-12,East,60,Low
185,2023-06-30,South,61,Low
186,2023-06-12,East,56,Low
187,2023-03-02,North,19,Mid
188,2023-05-20,East,56,Low
189,2023-03-29,South,28,Low
190,2023-04-21,East,46,Low
191,2023-09-07,West,62,High
192,2023-08-19,South,59,Low
193,2023-08-10,West,49,Low
194,2023-05-13,West,32,Mid
195,2023-12-17,West,42,Low
196,2023-02-01,North,51,High
197,2023-05-06,West,42,Low
198,2023-02-13,North,37,Mid
199,2023-05-04,South,36,Mid
200,2023-12-18,West,46,Mid
201,2023-05-14,East,19,Mid
202,2023-11-28,East,64,Mid
203,2023-06-30,South,22,Mid
204,2023-09-13,West,64,Mid
205,2023-06-16,East,19,Mid
206,2023-04-08,South,42,Mid
207,2023-10-06,West,37,Mid
208,2023-12-20,North,44,Low
209,2023-04-07,North,38,Low
210,2023-10-12,East,60,Low
211,2023-04-06,West,18,Low
212,2023-09-19,North,64,Mid
213,2023-10-15,North,50,Low
214,2023-06-14,North,54,Mid
215,2023-09-26,West,24,Mid
216,2023-04-10,North,21,Mid
217,2023-01-29,East,36,Mid
218,2023-02-05,West,33,Low
219,2023-06-13,North,54,Low
220,2023-11-26,East,60,Mid
221,2023-02-16,East,38,Mid
222,2023-06-16,West,54,Mid
223,2023-09-14,South,20,Mid
224,2023-03-15,South,52,Mid
225,2023-09-21,North,22,Mid
226,2023-04-22,East,49,Mid
227,2023-10-23,West,35,Mid
228,2023-07-31,North,37,Low
229,2023-07-19,South,30,Low
230,2023-03-06,West,36,Low
231,2023-06-19,North,59,Mid
232,2023-11-09,South,56,Mid
233,2023-01-08,East,33,Low
234,2023-10-04,South,31,Low
235,2023-06-29,South,41,Mid
236,2023-09-20,South,50,Low
237,2023-08-31,North,26,Mid
238,2023-06-07,East,52,Low
239,2023-04-23,East,62,Low
240,2023-08-17,East,57,Mid
241,2023-02-21,North,43,Low
242,2023-08-02,West,33,Low
243,2023-02-04,North,33,Low
244,2023-08-26,West,52,Low
245,2023-08-18,South,39,Low
246,2023-01-31,West,23,Mid
247,2023-10-04,North,49,Low
248,2023-06-01,North,24,Low
249,2023-10-15,South,64,Low
250,2023-01-16,North,37,High
251,2023-03-07,North,34,Mid
252,2023-06-30,East,20,High
253,2023-03-10,West,25,High
254,2023-05-01,North,62,Low
255,2023-08-30,West,43,Mid
256,2023-02-22,West,60,Low
257,2023-09-05,West,62,High
258,2023-02-07,East,20,Mid
259,2023-03-05,East,35,Low
260,2023-08-03,East,57,High
261,2023-10-17,East,41,Mid
262,2023-03-04,West,41,High
263,2023-04-20,North,44,Low
264,2023-12-04,South,50,Low
265,2023-12-28,North,62,Low
266,2023-08-01,West,59,Mid
267,2023-06-13,South,47,Mid
268,2023-05-07,East,45,Low
269,2023-08-12,West,34,Mid
270,2023-08-04,West,23,Low
271,2023-04-18,North,51,Mid
272,2023-01-09,West,18,High
273,2023-02-25,West,50,Mid
274,2023-12-16,North,41,Low
275,2023-06-02,West,54,Low
276,2023-06-26,South,62,Low
277,2023-06-20,East,43,Mid
278,2023-10-13,East,44,Mid
279,2023-01-24,South,40,Low
280,2023-01-31,North,35,High
281,2023-04-11,North,22,Mid
282,2023-06-27,North,19,Mid
283,2023-09-02,East,51,Mid
284,2023-06-29,South,61,High
285,2023-06-11,North,20,Low
286,2023-12-09,East,33,Low
287,2023-02-28,East,46,High
288,2023-07-28,East,51,High
289,2023-07-17,West,52,Mid
290,2023-06-22,South,50,Low
291,2023-10-22,West,21,Low
292,2023-04-08,North,29,Mid
293,2023-12-15,East,40,Mid
294,2023-05-02,West,20,Low
295,2023-07-18,West,34,Low
296,2023-07-10,East,36,Mid
297,2023-11-07,East,63,Mid
298,2023-06-10,South,32,Mid
299,2023-04-14,East,63,Mid
300,2023-01-08,West,50,High
301,2023-05-13,West,50,Low
302,2023-10-29,South,56,Mid
303,2023-01-04,North,57,Mid
304,2023-11-24,East,28,Mid
305,2023-07-18,North,37,High
306,2023-02-21,North,42,Mid
307,2023-04-21,South,63,Mid
308,2023-07-22,East,19,Low
309,2023-04-26,North,40,Mid
310,2023-02-09,North,28,Low
311,2023-09-01,North,27,Low
312,2023-09-03,West,53,Mid
313,2023-02-13,East,27,Mid
314,2023-04-13,North,55,High
315,2023-03-31,North,64,Mid
316,2023-08-29,East,54,Mid
317,2023-09-24,South,25,Low
318,2023-09-23,East,24,Mid
319,2023-12-09,South,38,High
320,2023-10-08,West,43,Mid
321,2023-04-28,South,54,Mid
322,2023-02-09,East,37,Mid
323,2023-08-13,North,25,Low
324,2023-12-01,West,64,Mid
325,2023-12-22,West,60,Low
326,2023-03-26,East,48,Low
327,2023-03-28,South,50,Low
328,2023-01-14,North,61,Low
329,2023-02-21,West,40,Low
330,2023-07-22,East,24,High
331,2023-07-19,North,46,Low
332,2023-05-16,South,39,Mid
333,2023-04-24,South,55,Mid
334,2023-10-30,West,54,Low
335,2023-06-17,East,40,Low
336,2023-10-23,East,35,High
337,2023-12-18,East,37,Mid
338,2023-04-26,South,47,High
339,2023-03-15,South,47,Low
340,2023-12-14,North,42,Mid
341,2023-08-20,West,42,Mid
342,2023-04-17,South,64,High
343,2023-08-15,South,29,Low
344,2023-07-07,North,26,High
345,2023-11-27,North,55,Low
346,2023-04-04,East,61,Mid
347,2023-12-28,North,46,Mid
348,2023-12-08,North,36,Mid
349,2023-03-07,West,34,Low
350,2023-03-02,South,39,Mid
351,2023-07-14,South,20,Low
352,2023-01-17,South,42,Mid
353,2023-04-20,West,30,Mid
354,2023-06-08,South,30,Mid
355,2023-12-20,West,44,Mid
356,2023-12-29,West,63,Mid
357,2023-02-25,East,27,Mid
358,2023-11-22,South,60,Mid
359,2023-02-03,East,42,Mid
360,2023-10-01,South,63,Mid
361,2023-11-05,South,35,Mid
362,2023-11-22,East,64,Mid
363,2023-03-23,South,49,Low
364,2023-11-23,North,49,Mid
365,2023-02-12,South,44,Low
366,2023-07-09,North,39,Low
367,2023-06-21,South,42,Mid
368,2023-04-26,East,57,Mid
369,2023-01-09,West,55,Mid
370,2023-10-09,North,19,High
371,2023-05-03,East,50,Low
372,2023-08-30,South,57,Low
373,2023-05-30,North,52,Low
374,2023-05-17,North,41,Low
375,2023-11-20,North,33,Mid
376,2023-02-04,North,49,Mid
377,2023-09-26,South,49,Mid
378,2023-09-30,South,35,Low
379,2023-05-19,East,37,Mid
380,2023-04-06,North,35,Low
381,2023-01-02,North,20,Mid
382,2023-12-08,North,19,Mid
383,2023-12-12,East,21,Low
384,2023-03-29,South,37,Mid
385,2023-01-12,East,41,Mid
386,2023-02-14,North,37,Low
387,2023-01-25,North,62,Mid
388,2023-10-31,West,28,Mid
389,2023-11-22,North,36,Low
390,2023-02-25,North,29,Low
391,2023-09-30,North,32,Mid
392,2023-03-07,West,45,High
393,2023-05-15,East,32,Mid
394,2023-08-07,East,32,Mid
395,2023-09-20,West,49,Mid
396,2023-11-16,North,57,Mid
397,2023-01-17,West,27,Low
398,2023-03-13,North,23,Low
399,2023-04-13,East,29,High
400,2023-04-24,South,45,Mid
401,2023-12-31,South,63,High
402,2023-10-11,West,25,Low
403,2023-04-27,North,20,Mid
404,2023-12-21,West,42,Mid
405,2023-07-02,South,64,Low
406,2023-07-02,East,43,Low
407,2023-06-08,West,61,Mid
408,2023-02-22,North,48,Mid
409,2023-12-08,West,19,Mid
410,2023-01-06,East,38,Low
411,2023-03-05,East,54,Mid
412,2023-03-25,North,41,Low
413,2023-04-12,East,27,Low
414,2023-02-18,East,26,Mid
415,2023-01-07,South,49,Low
416,2023-09-05,North,39,High
417,2023-12-20,North,44,Mid
418,2023-02-14,West,35,Low
419,2023-04-19,North,33,Low
420,2023-07-04,East,49,Mid
421,2023-12-05,West,18,Low
422,2023-09-11,North,38,Low
423,2023-10-07,North,35,Mid
424,2023-08-01,East,54,Low
425,2023-06-02,North,52,Mid
426,2023-03-14,East,38,Mid
427,2023-11-12,East,30,Low
428,2023-10-21,East,29,Mid
429,2023-01-10,South,27,Mid
430,2023-09-19,East,30,Mid
431,2023-01-31,East,53,Low
432,2023-09-27,North,20,Mid
433,2023-10-29,East,19,Low
434,2023-02-17,West,43,Mid
435,2023-06-08,East,28,Low
436,2023-02-15,South,57,High
437,2023-07-27,South,53,Low
438,2023-12-05,North,54,High
439,2023-01-30,North,39,High
440,2023-05-26,North,38,Mid
441,2023-12-22,West,38,Low
442,2023-04-20,North,27,Low
443,2023-02-18,West,44,High
444,2023-06-28,North,58,Mid
445,2023-07-05,South,30,Mid
446,2023-08-30,South,20,Low
447,2023-04-25,South,44,Mid
448,2023-12-15,West,36,Low
449,2023-07-10,West,55,Low
450,2023-04-15,West,58,Low
451,2023-12-17,North,62,Mid
452,2023-12-04,West,36,High
453,2023-07-02,North,60,Mid
454,2023-01-10,West,23,Low
455,2023-08-06,East,35,Low
456,2023-07-22,South,30,Mid
457,2023-02-24,North,61,Mid
458,2023-08-20,North,46,Low
459,2023-11-03,North,35,Low
460,2023-02-08,West,25,Mid
461,2023-09-22,West,54,High
462,2023-02-21,West,48,Mid
463,2023-10-01,North,58,Low
464,2023-06-02,East,38,Mid
465,2023-01-03,South,25,Low
466,2023-12-19,East,33,High
467,2023-03-02,South,47,Low
468,2023-08-06,South,29,Low
469,2023-03-08,East,21,Mid
470,2023-12-07,North,56,Low
