order_item_id,order_id,product_id,quantity,unit_price
1,1,190,1,164.18
2,1,124,1,58.23
3,1,186,3,42.65
4,1,214,1,102.81
5,2,99,1,80.92
6,2,260,3,161.44
7,3,85,3,175.52
8,3,218,2,112.64
9,3,212,2,56.2
10,4,294,2,117.21
11,4,167,2,109.41
12,4,19,1,63.05
13,5,67,2,76.31
14,6,28,3,97.76
15,6,137,2,149.86
16,6,214,2,88.7
17,6,185,1,112.39
18,6,94,2,84.65
19,7,255,3,174.34
20,7,58,1,57.48
21,7,151,1,40.78
22,7,67,3,75.44
23,7,115,1,34.87
24,8,97,2,122.49
25,8,247,3,126.83
26,8,142,2,189.87
27,8,245,3,114.27
28,8,223,1,118.42
29,9,40,1,65.85
30,9,39,3,41.17
31,10,25,2,83.11
32,11,175,2,117.79
33,12,225,3,123.36
34,12,137,1,122.4
35,13,115,1,38.45
36,13,100,3,55.02
37,13,199,2,65.57
38,13,81,2,45.01
39,14,65,2,106.57
40,14,234,1,45.64
41,14,216,2,160.79
42,14,6,3,90.11
43,15,203,3,110.92
44,16,282,1,131.37
45,16,168,1,82.16
46,17,191,2,104.49
47,18,267,3,104.96
48,19,231,3,109.65
49,20,212,3,76.39
50,21,62,2,94.06
51,21,220,1,70.46
52,22,111,2,171.11
53,22,57,1,93.33
54,23,186,1,36.44
55,23,111,2,167.46
56,23,219,1,92.08
57,23,185,1,125.04
58,24,184,2,147.66
59,24,55,2,103.41
60,25,82,1,68.0
61,25,180,2,151.24
62,25,126,3,113.53
63,25,88,2,103.56
64,25,135,3,68.1
65,26,214,1,110.71
66,26,73,1,145.8
67,26,229,3,131.78
68,26,213,1,55.06
69,26,137,2,128.51
70,27,232,2,91.15
71,27,156,2,69.73
72,28,223,3,90.65
73,28,290,1,90.33
74,29,193,3,83.57
75,29,41,2,76.25
76,30,14,1,59.88
77,30,119,1,83.43
78,30,36,2,59.35
79,30,68,1,117.04
80,30,182,1,170.18
81,31,292,2,165.64
82,31,122,2,105.88
83,31,191,3,105.57
84,31,75,3,120.4
85,31,195,1,118.68
86,32,266,3,153.27
87,32,256,3,121.7
88,33,199,2,66.82
89,33,274,3,165.94
90,33,270,1,113.98
91,34,57,3,73.55
92,34,205,3,134.1
93,34,189,2,132.3
94,35,18,3,44.93
95,35,93,3,46.59
96,35,47,3,45.14
97,35,156,3,77.4
98,36,265,3,109.42
99,36,109,3,120.67
100,36,202,2,86.03
101,36,9,1,85.31
102,37,72,2,86.96
103,37,90,1,122.89
104,37,11,3,57.9
105,38,34,3,85.35
106,39,212,2,61.08
107,40,201,2,105.25
108,41,198,2,83.88
109,41,52,2,42.17
110,41,127,2,80.96
111,41,260,1,187.21
112,41,152,3,61.22
113,42,204,2,148.72
114,42,267,2,118.61
115,43,274,3,173.68
116,44,39,3,37.83
117,45,46,2,116.09
118,45,240,3,31.91
119,45,155,1,151.02
120,45,64,1,83.41
121,46,260,2,162.69
122,46,56,2,126.75
123,47,84,1,133.3
124,47,41,3,82.08
125,48,108,2,49.73
126,48,135,1,70.16
127,48,270,2,133.05
128,48,43,3,93.01
129,48,247,2,130.94
130,49,180,3,139.56
131,49,285,1,60.87
132,50,239,3,64.78
133,50,98,1,90.0
134,50,180,2,145.83
135,50,220,3,78.01
136,51,264,2,89.37
137,51,132,1,116.63
138,51,279,2,116.45
139,52,92,2,120.19
